"מק""ט",שם המוצר,קטגוריה,מותג,צבע,כמות באריזה,כמות במשטח,מידות,שם באנגלית,קטגוריה באנגלית,אימוג'י,תמונה,תמונות נוספות,תמונת מפרט,תמונות מפרט
70044460,ברך 45° 40,ברך,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70044460 | סימון: 40/45° | DN: 40 | t: 40 | L: 117 | W: 89",Elbow 45° 40,ברך,🚰,sml_p13_a.jpg,,,
70044960,ברך 90° 40,ברך,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70044960 | סימון: 40/90° | DN: 40 | t: 40 | L: 94 | W: 94",Elbow 90° 40,ברך,🚰,sml_p13_b.jpg,,,
70051150,ברך 15° צד אחד חלק 50,ברך צד אחד חלק,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70051150 | סימון: חלק 50/15° | DN: 50 | t: 41 | L: 104 | W: 71",Elbow 15° One Side Plain 50,ברך צד אחד חלק,🚰,sml_p12_a.jpg,,,
70051300,ברך 30° צד אחד חלק 50,ברך צד אחד חלק,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70051300 | סימון: חלק 50/30° | DN: 50 | t: 41 | L: 111 | W: 82",Elbow 30° One Side Plain 50,ברך צד אחד חלק,🚰,sml_p12_b.jpg,,,
70051460,ברך 45° צד אחד חלק 50,ברך צד אחד חלק,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70051460 | סימון: חלק 50/45° | DN: 50 | t: 41 | L: 114 | W: 90",Elbow 45° One Side Plain 50,ברך צד אחד חלק,🚰,sml_p12_c.jpg,,,
70051960,ברך 90° צד אחד חלק 50,ברך צד אחד חלק,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70051960 | סימון: חלק 50/90° | DN: 50 | t: 41 | L: 107 | W: 110",Elbow 90° One Side Plain 50,ברך צד אחד חלק,🚰,sml_p12_d.jpg,,,
70053930,ברך מצרה צד אחד שקע תקע 32/50,ברך מצרה,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70053930 | סימון: 32/50/90° | DN1: 32 | DN2: 50 | t1: 40 | t2: 41 | L: 96 | W: 105",Reducing Elbow One Side Socket-Spigot 32/50,ברך מצרה,🚰,sml_p14_b.jpg,,,
70053960,ברך מצרה 90° 32/50,ברך מצרה,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70053960 | סימון: 32/50/90° | DN1: 32 | DN2: 50 | t1: 35 | t2: 41 | L: 90 | W: 100",Reducing Elbow 90° 32/50,ברך מצרה,🚰,sml_p13_c.jpg,,,
70054960,ברך מצרה 90° 40/50,ברך מצרה,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70054960 | סימון: 40/50/90° | DN1: 40 | DN2: 50 | t1: 40 | t2: 41 | L: 97 | W: 107",Reducing Elbow 90° 40/50,ברך מצרה,🚰,sml_p13_c.jpg,,,
70055460,ברך 45° 50,ברך,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70055460 | סימון: 50/45° | DN: 50 | t: 41 | L: 127 | W: 100",Elbow 45° 50,ברך,🚰,sml_p13_a.jpg,,,
70055960,ברך 90° 50,ברך,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70055960 | סימון: 50/90° | DN: 50 | t: 41 | L: 110 | W: 110",Elbow 90° 50,ברך,🚰,sml_p13_b.jpg,,,
70066463,ברך 45° 63,ברך,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70066463 | סימון: 63/45° | DN: 63 | t: 50 | L: 139 | W: 189",Elbow 45° 63,ברך,🚰,sml_p13_a.jpg,,,
70113560,מאסף 130 50/50/50,מאספים,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70113560 | סימון: 130/50/50 | DN: 50 | D: 98.3 | t: 41 | L1: 130 | L2: 57 | W: 180",Collector 130 50/50/50,מאספים,🚰,sml_p19_b.jpg,,,
70113562,מאסף נפילה 50,מאספים,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70113562 | סימון: נפילה 50 | DN: 50 | D1: 98.3 | D2: 50 | t: 41 | L1: 156 | L2: 30 | W: 180",Drop Collector 50,מאספים,🚰,sml_p20_a.jpg,,,
70113565,מאסף נפילה 110,מאספים,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70113565 | סימון: נפילה 110 | DN: 50 | D1: 98.3 | D2: 110 | t: 41 | L1: 200 | L2: 74 | W: 180",Drop Collector 110,מאספים,🚰,sml_p20_c.jpg,,,
70113566,מאסף נפילה 100,מאספים,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70113566 | סימון: נפילה 100 | DN: 50 | D1: 98.3 | D2: 100 | t: 41 | L1: 200 | L2: 72 | W: 180",Drop Collector 100,מאספים,🚰,sml_p20_b.jpg,,,
70114500,מחסום 140/50 סגור,מחסומים,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70114500 | סימון: סגור 140/50 | DN: 50 | D: 98.3 | t: 41 | L1: 140 | L2: 55 | W: 165",Floor Drain 140/50 Closed,מחסומים,🚰,sml_p21_b.jpg,,,
70114590,מחסום 140/40/50 פתוח,מחסומים,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70114590 | סימון: פתוח 140/40/50 | DN1: 40 | DN2: 50 | D: 98.3 | t1: 40 | t2: 41 | L1: 140 | L2: 55 | W: 198",Floor Drain 140/40/50 Open,מחסומים,🚰,sml_p22_a.jpg,,,
70117500,מחסום קומקום 175/50 סגור,מחסומים,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70117500 | סימון: סגור 175/50 | DN: 50 | D: 98.3 | t: 41 | L1: 175 | L2: 55 | W: 200",Kettle Floor Drain 175/50 Closed,מחסומים,🚰,sml_p23_a.jpg,,,
70117560,מחסום קומקום 175/40/50 פתוח,מחסומים,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70117560 | סימון: פתוח 175/40/50 | DN1: 40 | DN2: 50 | D: 98.3 | t1: 40 | t2: 41 | L1: 175 | L2: 55 | W: 200",Kettle Floor Drain 175/40/50 Open,מחסומים,🚰,sml_p23_b.jpg,,,
70123663,מאסף 230 50/50,מאספים,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70123663 | סימון: 230/50/50 | DN1: 50 | DN2: 50 | D: 98.3 | t1: 41 | t2: 41 | L1: 230 | L2: 157 | W: 180",Collector 230 50/50,מאספים,🚰,sml_p19_c.jpg,,,
70124590,מחסום 245/40/50 פתוח,מחסומים,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70124590 | סימון: פתוח 245/40/50 | DN1: 40 | DN2: 50 | D: 98.3 | t1: 40 | t2: 41 | L1: 245 | L2: 55 | W: 198",Floor Drain 245/40/50 Open,מחסומים,🚰,sml_p22_b.jpg,,,
70124599,מחסום 245/50 סגור,מחסומים,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70124599 | סימון: סגור 245/50 | DN: 50 | D: 98.3 | t: 41 | L1: 245 | L2: 55 | W: 165",Floor Drain 245/50 Closed,מחסומים,🚰,sml_p21_c.jpg,,,
70133563,מאסף 230 50/63,מאספים,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70133563 | סימון: 230/50/63 | DN1: 50 | DN2: 63 | D: 98.3 | t1: 41 | t2: 50 | L1: 230 | L2: 140 | W: 191",Collector 230 50/63,מאספים,🚰,sml_p19_c.jpg,,,
70136363,מאסף 230 63/63,מאספים,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70136363 | סימון: 230/63/63 | DN1: 63 | DN2: 63 | D: 98.3 | t1: 50 | t2: 50 | L1: 230 | L2: 140 | W: 200",Collector 230 63/63,מאספים,🚰,sml_p19_c.jpg,,,
70140760,מאסף 70/40 סגור,מאספים,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70140760 | סימון: סגור 70/40 | DN: 40 | D: 98.3 | t: 40 | L: 70 | W: 138 | יח׳/ארגז: 60 | יח׳/משטח: 1,200",Collector 70/40 Closed,מאספים,🚰,sml_p19_a.jpg,,,
70145960,מחסום 80/50 סגור,מחסומים,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70145960 | סימון: סגור 80/50 | DN: 50 | D: 98.3 | t: 41 | L: 80 | W: 149 | יח׳/ארגז: 64 | יח׳/משטח: 1,280",Floor Drain 80/50 Closed,מחסומים,🚰,sml_p21_a.jpg,,,
70532360,מצמד כפול 32,מצמד כפול,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70532360 | סימון: מצמד 32 | DN: 32 | t: 35 | L: 90 | W: 51 | יח׳/ארגז: 130 | יח׳/משטח: 5,460",Double Coupling 32,מצמד כפול,🚰,sml_p18_a.jpg,,,
70540460,מצמד כפול 40,מצמד כפול,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70540460 | סימון: מצמד 40 | DN: 40 | t: 40 | L: 90 | W: 58",Double Coupling 40,מצמד כפול,🚰,sml_p18_a.jpg,,,
70550560,מצמד כפול 50,מצמד כפול,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70550560 | סימון: מצמד 50 | DN: 50 | t: 41 | L: 90 | W: 69",Double Coupling 50,מצמד כפול,🚰,sml_p18_a.jpg,,,
70563663,מצמד כפול 63,מצמד כפול,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70563663 | סימון: מצמד 63 | DN: 63 | t: 50 | L: 113 | W: 87",Double Coupling 63,מצמד כפול,🚰,sml_p18_a.jpg,,,
70633460,מסעף 45° 32,מסעף,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70633460 | סימון: 32/45° | DN: 32 | t: 35 | L: 109 | W: 150 | יח׳/ארגז: 70 | יח׳/משטח: 2,800",Branch 45° 32,מסעף,🚰,sml_p16_a.jpg,,,
70633860,מסעף 90° 32,מסעף,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70633860 | סימון: 32/90° | DN: 32 | t: 35 | L: 130 | W: 90",Branch 90° 32,מסעף,🚰,sml_p17_a.jpg,,,
70644460,מסעף 45° 40,מסעף,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70644460 | סימון: 40/45° | DN: 40 | t: 40 | L: 120 | W: 153",Branch 45° 40,מסעף,🚰,sml_p16_a.jpg,,,
70644860,מסעף 90° 40,מסעף,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70644860 | סימון: 40/90° | DN: 40 | t: 40 | L: 155 | W: 107",Branch 90° 40,מסעף,🚰,sml_p17_a.jpg,,,
70654460,מסעף מצרה 45° 50/40/50,מסעף,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70654460 | סימון: 50/40/50/45° | DN1: 50 | DN2: 40 | DN3: 50 | t1: 41 | t2: 40 | t3: 41 | L: 152 | W: 128",Reducing Branch 45° 50/40/50,מסעף,🚰,sml_p16_b.jpg,,,
70654860,מסעף מצרה 90° 40/50,מסעף,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70654860 | סימון: 50/40/50/90° | DN1: 50 | DN2: 40 | t1: 41 | t2: 40 | L: 155 | W: 112",Reducing Branch 90° 40/50,מסעף,🚰,sml_p17_b.jpg,,,
70655460,מסעף 45° 50,מסעף,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70655460 | סימון: 50/45° | DN: 50 | t: 41 | L: 137 | W: 165",Branch 45° 50,מסעף,🚰,sml_p16_a.jpg,,,
70655860,מסעף 90° 50,מסעף,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70655860 | סימון: 50/90° | DN: 50 | t: 41 | L: 155 | W: 112",Branch 90° 50,מסעף,🚰,sml_p17_a.jpg,,,
70665463,מסעף מצרה 45° 63/50/63,מסעף,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70665463 | סימון: 63/50/63/45° | DN1: 63 | DN2: 50 | DN3: 63 | t1: 50 | t2: 41 | t3: 50 | L: 213 | W: 168",Reducing Branch 45° 63/50/63,מסעף,🚰,sml_p16_b.jpg,,,
70666463,מסעף 45° 63,מסעף,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70666463 | סימון: 63/45° | DN: 63 | t: 50 | L: 213 | W: 176",Branch 45° 63,מסעף,🚰,sml_p16_a.jpg,,,
70703260,אום SmartLock 32,אום SmartLock,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70703260 | סימון: אום 32 | DN: 32 | L: 21 | W: 51 | יח׳/ארגז: 750 | יח׳/משטח: 36,000",SmartLock Nut 32,אום SmartLock,🚰,sml_p25_a.jpg,,,
70704060,אום SmartLock 40,אום SmartLock,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70704060 | סימון: אום 40 | DN: 40 | L: 21 | W: 58",SmartLock Nut 40,אום SmartLock,🚰,sml_p25_a.jpg,,,
70705060,אום SmartLock 50,אום SmartLock,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70705060 | סימון: אום 50 | DN: 50 | L: 21 | W: 69",SmartLock Nut 50,אום SmartLock,🚰,sml_p25_a.jpg,,,
70763063,אום SmartLock 63,אום SmartLock,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70763063 | סימון: אום 63 | DN: 63 | L: 22 | W: 87",SmartLock Nut 63,אום SmartLock,🚰,sml_p25_a.jpg,,,
70850060,מתאם זווית - ג'וקר 50,מתאם זווית - ג'וקר,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70850060 | סימון: ג'וקר 50 | DN: 50 | L: 87 | W: 77",Angle Adapter - Joker 50,מתאם זווית - ג'וקר,🚰,sml_p11_c.jpg,,,
70860060,אום לג'וקר 50,אביזרים משלימים,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70860060 | סימון: אום לג'וקר 50 | DN: 50 | L: 22 | W: 77",Nut for Joker 50,אביזרים משלימים,🚰,sml_p24_c.jpg,,,
70863063,אום לג'וקר 63,אביזרים משלימים,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70863063 | סימון: אום לג'וקר 63 | DN: 63 | L: 22 | W: 90",Nut for Joker 63,אביזרים משלימים,🚰,sml_p24_c.jpg,,,
70940060,פקק למחסום 40,אביזרים משלימים,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70940060 | סימון: פקק למחסום 40 | DN: 40 | L: 42",Plug for Floor Drain 40,אביזרים משלימים,🚰,sml_p24_d.jpg,,,
70940160,מתאם זווית - ג'וקר 40,מתאם זווית - ג'וקר,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70940160 | סימון: ג'וקר | DN: 40 | L: 89 | W: 66 | יח׳/ארגז: 80 | יח׳/משטח: 3,360",Angle Adapter - Joker 40,מתאם זווית - ג'וקר,🚰,sml_p11_c.jpg,,,
70950060,פקק למחסום/מאסף 50,אביזרים משלימים,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70950060 | סימון: פקק למחסום/מאסף 50 | DN: 50 | L: 50",Plug for Floor Drain/Collector 50,אביזרים משלימים,🚰,sml_p24_d.jpg,,,
70950160,אום לג'וקר 40,אביזרים משלימים,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70950160 | סימון: אום לג'וקר 40 | DN: 40 | L: 19 | W: 66",Nut for Joker 40,אביזרים משלימים,🚰,sml_p24_c.jpg,,,
70963060,פקק למאסף 63,אביזרים משלימים,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70963060 | סימון: פקק למאסף 63 | DN: 63 | L: 68",Plug for Collector 63,אביזרים משלימים,🚰,sml_p24_d.jpg,,,
70963160,מתאם זווית - ג'וקר 63,מתאם זווית - ג'וקר,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 70963160 | סימון: ג'וקר 63 | DN: 63 | L: 95 | W: 90",Angle Adapter - Joker 63,מתאם זווית - ג'וקר,🚰,sml_p11_c.jpg,,,
71410960,ברך טלסקופית 40,ברך טלסקופית,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 71410960 | סימון: 40/90° | DN: 40 | t1: 40 | t2: 123 | L: 93 | W: 183 | יח׳/ארגז: 50 | יח׳/משטח: 2,100",Telescopic Elbow 40,ברך טלסקופית,🚰,sml_p15_a.jpg,,,
71450960,ברך טלסקופית 50,ברך טלסקופית,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 71450960 | סימון: 50/90° | DN: 50 | t1: 41 | t2: 156 | L: 111 | W: 225",Telescopic Elbow 50,ברך טלסקופית,🚰,sml_p15_a.jpg,,,
71455860,ברך טלסקופית צד אחד שקע תקע 50,ברך טלסקופית,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 71455860 | סימון: 50/50/87.5° | DN: 50 | t1: 41 | t2: 157 | L: 114 | W: 222",Telescopic Elbow One Side Socket-Spigot 50,ברך טלסקופית,🚰,sml_p15_b.jpg,,,
71456863,ברך מצרה טלסקופית צד אחד שקע תקע 50/63,ברך טלסקופית,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 71456863 | סימון: 50/63/87.5° | DN1: 50 | DN2: 63 | t1: 40 | t2: 157 | L: 119 | W: 231",Telescopic Reducing Elbow One Side Socket-Spigot 50/63,ברך טלסקופית,🚰,sml_p15_c.jpg,,,
72065450,מסעף מצרה 45° 50/50/63,מסעף,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 72065450 | סימון: 50/50/63/45° | DN1: 50 | DN2: 50 | DN3: 63 | t1: 41 | t2: 41 | t3: 50 | L: 212 | W: 169",Reducing Branch 45° 50/50/63,מסעף,🚰,sml_p16_b.jpg,,,
72143260,מצרה 32/40,מצרה,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 72143260 | סימון: 32/40 | DN1: 32 | DN2: 40 | t1: 35 | t2: 40 | L: 82 | W: 58 | יח׳/ארגז: 120 | יח׳/משטח: 5,040",Reducer 32/40,מצרה,🚰,sml_p18_b.jpg,,,
72150460,מצרה 40/50,מצרה,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 72150460 | סימון: 40/50 | DN1: 40 | DN2: 50 | t1: 40 | t2: 41 | L: 90 | W: 69",Reducer 40/50,מצרה,🚰,sml_p18_b.jpg,,,
72153260,מצרה 32/50,מצרה,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 72153260 | סימון: 32/50 | DN1: 32 | DN2: 50 | t1: 35 | t2: 41 | L: 90 | W: 69",Reducer 32/50,מצרה,🚰,sml_p18_b.jpg,,,
72163563,מצרה 50/63,מצרה,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 72163563 | סימון: 50/63 | DN1: 50 | DN2: 63 | t1: 41 | t2: 50 | L: 132 | W: 87",Reducer 50/63,מצרה,🚰,sml_p18_b.jpg,,,
76032202,"מחלק 1"" 2 יציאות ללא ברז",מחלקים,AQUATEC,,,,יציאות: 2 | מידה: 1' | תיאור: 2 יציאות,"Manifold 1"" 2-outlet No Valve",Manifolds,🔀,76032202.jpg,,,
76032203,"מחלק 1"" 3 יציאות ללא ברז",מחלקים,AQUATEC,,,,יציאות: 3 | מידה: 1' | תיאור: 3 יציאות,"Manifold 1"" 3-outlet No Valve",Manifolds,🔀,76032202.jpg,,,
76032204,"מחלק 1"" 4 יציאות ללא ברז",מחלקים,AQUATEC,,,,יציאות: 4 | מידה: 1' | תיאור: 4 יציאות,"Manifold 1"" 4-outlet No Valve",Manifolds,🔀,76032202.jpg,,,
7608202B,"מחלק 3/4"" 2 יציאות + ברז כחול",מחלקים,AQUATEC,,,,"יציאות: 2 | מידה: 3/4"" | תיאור: מחלקים 3/4"" 2 יציאות","Manifold 3/4"" 2-outlet Blue Valve",Manifolds,🔀,7609202B.jpg,,,
7609202B,"מחלק 1"" 2 יציאות + ברז כחול",מחלקים,AQUATEC,,,,"יציאות: 2 | מידה: 1"" | תיאור: מחלקים 1' 2 יציאות","Manifold 1"" 2-outlet Blue Valve",Manifolds,🔀,7609202B.jpg,,,
7609202R,"מחלק 1"" 2 יציאות + ברז אדום",מחלקים,AQUATEC,,,,"יציאות: 2 | מידה: 1"" | תיאור: מחלקים 1' 2 יציאות","Manifold 1"" 2-outlet Red Valve",Manifolds,🔀,7609202B.jpg,,,
7609203B,"מחלק 1"" 3 יציאות + ברז כחול",מחלקים,AQUATEC,,,,"יציאות: 3 | מידה: 1"" | תיאור: מחלקים 1' 3 יציאות","Manifold 1"" 3-outlet Blue Valve",Manifolds,🔀,7609202B.jpg,,,
7609203R,"מחלק 3/4"" 2 יציאות + ברז אדום",מחלקים,AQUATEC,,,,"יציאות: 2 | מידה: 3/4"" | תיאור: מחלקים 1' 3 יציאות","Manifold 3/4"" 2-outlet Red Valve",Manifolds,🔀,7609202B.jpg,,,
767943440,אטם מעביר SL 40/32,אביזרים משלימים,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 767943440 | סימון: אטם מעביר SL 40/32",Transition Seal SL 40/32,אביזרים משלימים,🚰,page_24.jpg,,,
767950440,אטם מעביר SL 50/40,אביזרים משלימים,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 767950440 | סימון: אטם מעביר SL 50/40",Transition Seal SL 50/40,אביזרים משלימים,🚰,page_24.jpg,,,
77000010,"מחבר מהיר 1/2""",ציוד גן,AQUATEC,,,,"מידה: 1/2"" | תיאור: מחבר מהיר","Quick Connector 1/2""",Garden Equipment,🌿,77000010.jpg,,,
77000011,"מחבר מהיר 3/4""",ציוד גן,AQUATEC,,,,"מידה: 3/4"" | תיאור: מחבר מהיר","Quick Connector 3/4""",Garden Equipment,🌿,77000010.jpg,,,
77000012,"רקורד לברז גן 1""-3/4""",ציוד גן,AQUATEC,,,,"מידה: 1""-3/4"" | תיאור: רקורד לברז קן 3/4""-1","Garden Tap Union 1""-3/4""",Garden Equipment,🌿,77000012.jpg,,,
77000013,"מחבר תיקון 1/2""",ציוד גן,AQUATEC,,,,"מידה: 1/2"" | תיאור: מחבר תיקון","Repair Connector 1/2""",Garden Equipment,🌿,77000013.jpg,,,
77000022,מפצל לצינור גן פליז,ציוד גן,AQUATEC,,,,חומר: פליז | תיאור: מפצל לצינור גן פליז,Brass Garden Hose Splitter,Garden Equipment,🌿,77000022.jpg,,,
77000024,"מחבר תיקון 3/4""",ציוד גן,AQUATEC,,,,"מידה: 3/4"" | תיאור: מחבר תיקון","Repair Connector 3/4""",Garden Equipment,🌿,77000013.jpg,,,
77000026,אקדח מים לגינה פליז,ציוד גן,AQUATEC,,,,ייעוד: לגינה | חומר: פליז | תיאור: אקדח מים לגינה פליז,Brass Garden Water Gun,Garden Equipment,🌿,77000026.jpg,,,
77000027,אקדח מים לגינה פלסטיק,ציוד גן,AQUATEC,,,,ייעוד: לגינה | חומר: פלסטיק | תיאור: אקדח מים לגינה פלסטיק,Plastic Garden Water Gun,Garden Equipment,🌿,77000027.jpg,,,
77000030,צינור קפיצי 15 מטר לגן,ציוד גן,AQUATEC,,,,תיאור: צינור קפיצי 15 מטר לגן,Coiled Garden Hose 15m,Garden Equipment,🌿,77000030.jpg,,,
77000903,סט זוג ברגים לאסלה,אביזרי אסלה,AQUATEC,,,,ייעוד: לאסלה | תיאור: סט זוג ברגים לאסלה,Pair of Bolts for Toilet,Toilet Accessories,🚽,77000903.jpg,,,
77000905,סט זוג ברגים לכיור,אביזרי אסלה,AQUATEC,,,,ייעוד: לכיור | תיאור: סט זוג ברגים לכיור,Pair of Bolts for Basin,Toilet Accessories,🚽,77000905.jpg,,,
77001190,"מחבר טלסקופי יחיד 1/2""",אביזרי נחושת,AQUATEC,,,,"תצורה: יחיד | מאפיין: טלסקופי | מידה: 1/2"" | תיאור: מחבר טלסקופי יחיד","Single Telescopic Connector 1/2""",Brass Fittings,🔧,77001190.jpg,,,
77001191,"מחבר טלסקופי כפול 1/2""",אביזרי נחושת,AQUATEC,,,,"תצורה: כפול | מאפיין: טלסקופי | מידה: 1/2"" | תיאור: מחבר טלסקופי כפול","Double Telescopic Connector 1/2""",Brass Fittings,🔧,77001190.jpg,,,
77001192,"מחבר טלסקופי יחיד 3/4""",אביזרי נחושת,AQUATEC,,,,"תצורה: יחיד | מאפיין: טלסקופי | מידה: 3/4"" | תיאור: מחבר טלסקופי יחיד","Single Telescopic Connector 3/4""",Brass Fittings,🔧,77001190.jpg,,,
77001193,"מחבר טלסקופי כפול 3/4""",אביזרי נחושת,AQUATEC,,,,"תצורה: כפול | מאפיין: טלסקופי | מידה: 3/4"" | תיאור: מחבר טלסקופי כפול","Double Telescopic Connector 3/4""",Brass Fittings,🔧,77001190.jpg,,,
77001194,"מחבר טלסקופי יחיד 1""",אביזרי נחושת,AQUATEC,,,,"תצורה: יחיד | מאפיין: טלסקופי | מידה: 1"" | תיאור: מחבר טלסקופי כפול","Single Telescopic Connector 1""",Brass Fittings,🔧,77001190.jpg,,,
77003022,"מכסה ניקל מרובע 6""",מכסים ורשתות,AQUATEC,,,,"מידה: 6"" | תיאור: מכסה ניקל מרובע 6""","Nickel Square Cover 6""",Drain Covers & Grates,🔧,77003022.jpg,,,
77003023,"רשת ניקל מרובעת 6""",מכסים ורשתות,AQUATEC,,,,"מידה: 6"" | תיאור: רשת ניקל מרובעת 6""","Nickel Square Grate 6""",Drain Covers & Grates,🔧,77003023.jpg,,,
77003024,"מכסה ניקל עגול 6""",מכסים ורשתות,AQUATEC,,,,"מידה: 6"" | תיאור: מכסה ניקל עגול 6""","Nickel Round Cover 6""",Drain Covers & Grates,🔧,77003024.jpg,,,
77003025,"רשת ניקל עגול 6""",מכסים ורשתות,AQUATEC,,,,"מידה: 6"" | תיאור: רשת ניקל עגול 6""","Nickel Round Grate 6""",Drain Covers & Grates,🔧,77003025.jpg,,,
77003128,"ברז אלכסוני 1""",ברזי מעבר,AQUATEC,,,,"מידה: 1"" | תיאור: ברז אלכסוני","Globe Valve 1""",Ball Valves,🔧,77777392.jpg,,,
77003220,"סיפון שרשורי גמיש 1¼""",סיפונים,AQUATEC,,,,"מידה: 1 1/4"" | תיאור: סיפון שרשורי גמיש","Flexible Corrugated Trap 1¼""",Traps,🔧,77003220.jpg,,,
77003221,"סיפון שרשורי גמיש 2""",סיפונים,AQUATEC,,,,"מידה: 2"" | תיאור: סיפון שרשורי גמיש","Flexible Corrugated Trap 2""",Traps,🔧,77003220.jpg,,,
77003223,חיבור אסלה שרשורי משופר,אביזרי אסלה,AQUATEC,,,,מאפיין: משופר | תיאור: חיבור אסלה שרשורי משופר,Improved Corrugated Toilet Connector,Toilet Accessories,🚽,77003223.jpg,,,
77004401,"אל חזור כלפה 1/2""",אביזרי נחושת,AQUATEC,,,,"מידה: 1/2"" | תיאור: אל חוזר כלפה","Flap Check Valve 1/2""",Brass Fittings,🔧,77004401.jpg,,,
77004402,"אל חזור כלפה 3/4""",אביזרי נחושת,AQUATEC,,,,"מידה: 3/4"" | תיאור: אל חוזר כלפה","Flap Check Valve 3/4""",Brass Fittings,🔧,77004401.jpg,,,
77004403,"אל חזור כלפה 1""",אביזרי נחושת,AQUATEC,,,,"מידה: 1"" | תיאור: אל חוזר כלפה","Flap Check Valve 1""",Brass Fittings,🔧,77004401.jpg,,,
77004404,"אל חזור כלפה 11/4""",אביזרי נחושת,AQUATEC,,,,"מידה: 1.1/4"" | תיאור: אל חוזר כלפה","Flap Check Valve 1¼""",Brass Fittings,🔧,77004401.jpg,,,
77004405,"אל חזור כלפה 11/2""",אביזרי נחושת,AQUATEC,,,,"מידה: 1.1/2"" | תיאור: אל חוזר כלפה","Flap Check Valve 1½""",Brass Fittings,🔧,77004401.jpg,,,
77004406,"אל חזור כלפה 2""",אביזרי נחושת,AQUATEC,,,,"מידה: 2"" | תיאור: אל חוזר כלפה","Flap Check Valve 2""",Brass Fittings,🔧,77004401.jpg,,,
77004407,"אל חזור כלפה 21/2""",אביזרי נחושת,AQUATEC,,,,"מידה: 2.1/2"" | תיאור: אל חוזר כלפה","Flap Check Valve 2½""",Brass Fittings,🔧,77004401.jpg,,,
